city,kind,runs,retrains,promotions,median_rmse,acted_windows,premium,premium_lo,premium_hi,premium_real,fires,longest_silence,arm,alphas
Kraków,rebaseline_shipped,48,14,7,17.49,47,6.49,-15.27,27.52,False,14,30,shipped,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
Kraków,rebaseline_fixed,48,21,7,17.49,47,5.71,-14.83,26.83,False,21,22,fixed,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 100.0, 0.001, 1000.0, 100.0, 10.0, 1000.0, 1000.0, 1000.0]"
Kraków,rebaseline_floor_only,48,11,7,18.25,32,24.26,-102.35,28.65,False,11,15,floor_only,"[1000.0, 100.0, 0.001, 1000.0, 1000.0, 1000.0, 1000.0, 100.0, 10.0, 1000.0, 1000.0, 1000.0]"
Delhi,rebaseline_shipped,39,9,8,40.44,38,49.35,33.74,61.81,True,9,21,shipped,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
Delhi,rebaseline_fixed,39,8,6,40.11,37,22.83,11.78,36.37,True,8,21,fixed,"[3000.0, 100.0, 0.001, 0.001, 100.0, 1000.0, 10000.0, 1000.0, 3000.0]"
Delhi,rebaseline_floor_only,39,3,3,44.67,31,21.67,-10.45,34.24,False,3,21,floor_only,"[3000.0, 10000.0, 1000.0, 10000.0]"
Los Angeles,rebaseline_shipped,36,1,1,10.91,35,-13.36,-36.88,-3.81,True,1,35,shipped,"[1.0, 1.0]"
Los Angeles,rebaseline_fixed,36,7,5,10.21,35,-3.55,-25.64,3.03,False,7,16,fixed,"[100.0, 100.0, 1000.0, 1000.0, 1000.0, 1000.0, 10000.0, 3000.0]"
Los Angeles,rebaseline_floor_only,36,2,1,9.91,1,16.57,-inf,inf,False,2,34,floor_only,"[100.0, 10000.0, 3000.0]"
Santiago,rebaseline_shipped,21,13,7,24.54,16,17.32,8.98,37.05,True,13,3,shipped,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
Santiago,rebaseline_fixed,21,13,7,24.55,16,17.48,8.57,37.15,True,13,3,fixed,"[10.0, 100.0, 30.0, 100.0, 100.0, 100.0, 100.0, 30.0, 3.0, 3.0, 0.001, 0.001, 0.001, 0.001]"
Santiago,rebaseline_floor_only,21,2,2,24.55,9,17.68,14.63,47.22,True,2,11,floor_only,"[10.0, 3.0, 0.001]"
Johannesburg,rebaseline_shipped,19,11,3,21.13,6,14.92,8.68,21.43,True,11,3,shipped,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
Johannesburg,rebaseline_fixed,19,12,3,21.72,6,9.73,4.61,13.97,True,12,3,fixed,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 100.0, 1000.0, 1000.0, 1000.0, 100.0]"
Johannesburg,rebaseline_floor_only,19,0,0,21.72,0,,,,,0,19,floor_only,[1000.0]
Melbourne,rebaseline_shipped,30,8,4,3.97,27,1.22,-0.6,3.04,False,8,15,shipped,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
Melbourne,rebaseline_fixed,30,9,4,4.01,27,5.58,2.04,6.57,True,9,15,fixed,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 100.0, 1000.0, 1000.0, 100.0, 100.0]"
Melbourne,rebaseline_floor_only,30,0,0,4.04,0,,,,,0,30,floor_only,[1000.0]
